datetime,temperature_degC,base_load_kW,hvac_heating_kW,hvac_cooling_kW,equipment_kW,shore_power_kW,load_kw,ghi_W_m2,total_load_kWh
6/30/2025 9:00,21.1,511.7739803,0,0,334,0,845.7739803,574,845.7739803
6/30/2025 10:00,23.4,511.7739803,0,0,334,0,845.7739803,647,845.7739803
6/30/2025 11:00,24.1,511.7739803,0,0.5,334,0,846.2739803,681,846.2739803
6/30/2025 12:00,24.7,511.7739803,0,3.5,334,0,849.2739803,675,849.2739803
6/30/2025 13:00,24.2,511.7739803,0,1,334,0,846.7739803,665,846.7739803
6/30/2025 14:00,23.7,511.7739803,0,0,334,0,845.7739803,603,845.7739803
6/30/2025 15:00,23.5,511.7739803,0,0,334,0,845.7739803,494,845.7739803
6/30/2025 16:00,23.4,511.7739803,0,0,334,0,845.7739803,411,845.7739803
6/30/2025 17:00,22,511.7739803,0,0,334,0,845.7739803,304,845.7739803
6/30/2025 18:00,20.6,511.7739803,3.2,0,334,0,848.9739803,174,848.9739803
6/30/2025 19:00,19.8,511.7739803,9.6,0,334,0,855.3739803,90,855.3739803
6/30/2025 20:00,19.2,511.7739803,14.4,0,334,0,860.1739803,33,860.1739803
6/30/2025 21:00,17.3,511.7739803,29.6,0,334,0,875.3739803,4,875.3739803
6/30/2025 22:00,15.4,333.7656393,26.88,0,144,0,504.6456393,0,504.6456393
6/30/2025 23:00,14,333.7656393,33.6,0,144,0,511.3656393,0,511.3656393
7/1/2025 0:00,12.4,333.7656393,41.28,0,144,0,519.0456393,0,519.0456393
7/1/2025 1:00,12.1,333.7656393,42.72,0,144,0,520.4856393,0,520.4856393
7/1/2025 2:00,12.3,333.7656393,41.76,0,144,0,519.5256393,0,519.5256393
7/1/2025 3:00,13,333.7656393,38.4,0,144,0,516.1656393,0,516.1656393
7/1/2025 4:00,14.2,333.7656393,32.64,0,144,0,510.4056393,49,510.4056393
7/1/2025 5:00,15.9,333.7656393,24.48,0,144,0,502.2456393,135,502.2456393
7/1/2025 6:00,15.3,511.7739803,45.6,0,334,0,891.3739803,254,891.3739803
7/1/2025 7:00,16.7,511.7739803,34.4,0,334,0,880.1739803,349,880.1739803
7/1/2025 8:00,18.6,511.7739803,19.2,0,334,0,864.9739803,440,864.9739803
7/1/2025 9:00,18.6,511.7739803,19.2,0,334,0,864.9739803,480,864.9739803
7/1/2025 10:00,18,511.7739803,24,0,334,0,869.7739803,474,869.7739803
7/1/2025 11:00,18.8,511.7739803,17.6,0,334,0,863.3739803,424,863.3739803
7/1/2025 12:00,18.7,511.7739803,18.4,0,334,0,864.1739803,360,864.1739803
7/1/2025 13:00,20.5,511.7739803,4,0,334,0,849.7739803,430,849.7739803
7/1/2025 14:00,21.1,511.7739803,0,0,334,0,845.7739803,375,845.7739803
7/1/2025 15:00,19.3,511.7739803,13.6,0,334,0,859.3739803,192,859.3739803
7/1/2025 16:00,18.8,511.7739803,17.6,0,334,0,863.3739803,205,863.3739803
7/1/2025 17:00,19.4,511.7739803,12.8,0,334,0,858.5739803,259,858.5739803
7/1/2025 18:00,19.5,511.7739803,12,0,334,0,857.7739803,175,857.7739803
7/1/2025 19:00,17.7,511.7739803,26.4,0,334,0,872.1739803,63,872.1739803
7/1/2025 20:00,16.4,511.7739803,36.8,0,334,0,882.5739803,9,882.5739803
7/1/2025 21:00,15.5,511.7739803,44,0,334,0,889.7739803,2,889.7739803
7/1/2025 22:00,17,333.7656393,19.2,0,144,0,496.9656393,0,496.9656393
7/1/2025 23:00,16.8,333.7656393,20.16,0,144,0,497.9256393,0,497.9256393
7/2/2025 0:00,15.9,333.7656393,24.48,0,144,0,502.2456393,0,502.2456393
7/2/2025 1:00,13.6,333.7656393,35.52,0,144,0,513.2856393,0,513.2856393
7/2/2025 2:00,12.7,333.7656393,39.84,0,144,0,517.6056393,0,517.6056393
7/2/2025 3:00,11.8,333.7656393,44.16,0,144,0,521.9256393,0,521.9256393
7/2/2025 4:00,12.8,333.7656393,39.36,0,144,0,517.1256393,41,517.1256393
7/2/2025 5:00,14.3,333.7656393,32.16,0,144,0,509.9256393,108,509.9256393
7/2/2025 6:00,16.9,511.7739803,32.8,0,334,0,878.5739803,202,878.5739803
7/2/2025 7:00,17.5,511.7739803,28,0,334,0,873.7739803,303,873.7739803
7/2/2025 8:00,19.3,511.7739803,13.6,0,334,0,859.3739803,361,859.3739803
7/2/2025 9:00,19.9,511.7739803,8.8,0,334,0,854.5739803,374,854.5739803
7/2/2025 10:00,18.5,511.7739803,20,0,334,0,865.7739803,365,865.7739803
7/2/2025 11:00,19.1,511.7739803,15.2,0,334,0,860.9739803,308,860.9739803
7/2/2025 12:00,19.2,511.7739803,14.4,0,334,0,860.1739803,320,860.1739803
7/2/2025 13:00,21.2,511.7739803,0,0,334,0,845.7739803,458,845.7739803
7/2/2025 14:00,20.9,511.7739803,0.8,0,334,0,846.5739803,533,846.5739803
7/2/2025 15:00,21.6,511.7739803,0,0,334,0,845.7739803,464,845.7739803
7/2/2025 16:00,22.7,511.7739803,0,0,334,0,845.7739803,344,845.7739803
7/2/2025 17:00,21.7,511.7739803,0,0,334,0,845.7739803,243,845.7739803
7/2/2025 18:00,21.6,511.7739803,0,0,334,0,845.7739803,146,845.7739803
7/2/2025 19:00,20.7,511.7739803,2.4,0,334,0,848.1739803,79,848.1739803
7/2/2025 20:00,20,511.7739803,8,0,334,0,853.7739803,37,853.7739803
7/2/2025 21:00,19.3,511.7739803,13.6,0,334,0,859.3739803,6,859.3739803
7/2/2025 22:00,18.9,333.7656393,10.08,0,144,0,487.8456393,0,487.8456393
7/2/2025 23:00,18.3,333.7656393,12.96,0,144,0,490.7256393,0,490.7256393
7/3/2025 0:00,17.9,333.7656393,14.88,0,144,0,492.6456393,0,492.6456393
7/3/2025 1:00,18,333.7656393,14.4,0,144,0,492.1656393,0,492.1656393
7/3/2025 2:00,16.6,333.7656393,21.12,0,144,0,498.8856393,0,498.8856393
7/3/2025 3:00,16.4,333.7656393,22.08,0,144,0,499.8456393,0,499.8456393
7/3/2025 4:00,16.4,333.7656393,22.08,0,144,0,499.8456393,30,499.8456393
7/3/2025 5:00,17,333.7656393,19.2,0,144,0,496.9656393,73,496.9656393
7/3/2025 6:00,17.2,511.7739803,30.4,0,334,0,876.1739803,135,876.1739803
7/3/2025 7:00,17.2,511.7739803,30.4,0,334,0,876.1739803,225,876.1739803
7/3/2025 8:00,19.3,511.7739803,13.6,0,334,0,859.3739803,264,859.3739803
7/3/2025 9:00,20.5,511.7739803,4,0,334,0,849.7739803,342,849.7739803
7/3/2025 10:00,21.8,511.7739803,0,0,334,0,845.7739803,495,845.7739803
7/3/2025 11:00,23.1,511.7739803,0,0,334,0,845.7739803,565,845.7739803
7/3/2025 12:00,24.4,511.7739803,0,2,334,0,847.7739803,579,847.7739803
7/3/2025 13:00,20.6,511.7739803,3.2,0,334,0,848.9739803,459,848.9739803
7/3/2025 14:00,15.3,511.7739803,45.6,0,334,0,891.3739803,286,891.3739803
7/3/2025 15:00,15.3,511.7739803,45.6,0,334,0,891.3739803,216,891.3739803
7/3/2025 16:00,15.7,511.7739803,42.4,0,334,0,888.1739803,162,888.1739803
7/3/2025 17:00,15.7,511.7739803,42.4,0,334,0,888.1739803,100,888.1739803
7/3/2025 18:00,15.8,511.7739803,41.6,0,334,0,887.3739803,49,887.3739803
7/3/2025 19:00,15.4,511.7739803,44.8,0,334,0,890.5739803,22,890.5739803
7/3/2025 20:00,15.3,511.7739803,45.6,0,334,0,891.3739803,7,891.3739803
7/3/2025 21:00,15.1,511.7739803,47.2,0,334,0,892.9739803,2,892.9739803
7/3/2025 22:00,14.9,333.7656393,29.28,0,144,0,507.0456393,0,507.0456393
7/3/2025 23:00,13.7,333.7656393,35.04,0,144,0,512.8056393,0,512.8056393
7/4/2025 0:00,11.4,333.7656393,46.08,0,144,0,523.8456393,0,523.8456393
7/4/2025 1:00,10.7,333.7656393,49.44,0,144,0,527.2056393,0,527.2056393
7/4/2025 2:00,10.7,333.7656393,49.44,0,144,0,527.2056393,0,527.2056393
7/4/2025 3:00,10.2,333.7656393,51.84,0,144,0,529.6056393,0,529.6056393
7/4/2025 4:00,10.6,333.7656393,49.92,0,144,0,527.6856393,53,527.6856393
7/4/2025 5:00,12.1,333.7656393,42.72,0,144,0,520.4856393,146,520.4856393
7/4/2025 6:00,13.8,511.7739803,57.6,0,334,0,903.3739803,270,903.3739803
7/4/2025 7:00,13.7,511.7739803,58.4,0,334,0,904.1739803,383,904.1739803
